tran_dt,tran_tmrg,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai
20240327,21,137,4634554248275382,105,8788427965584766,583751,01,30,SP
20240218,18,114,7074132228440133,126,3637455924692426,250477,03,02,SP
20240428,18,110,1830343887804434,137,4634554248275382,707081,01,18,02
20230916,12,146,2044337622386638,116,5399721444502102,479791,06,15,02
20230811,03,114,7074132228440133,107,9373164597475489,793460,08,18,SP
20230921,08,121,8796806744369720,137,4634554248275382,240467,05,25,02
20240704,06,122,1372230586542608,110,8503721976068787,476649,04,04,02
20240624,06,103,2697169725361552,127,9314600338646937,389814,02,25,01
20240521,00,121,3068904705543592,114,7074132228440133,236632,03,15,02
20231023,15,149,4742428498610196,131,4990761026583734,169618,04,16,SP
20231210,03,141,7115619356507454,146,2044337622386638,819299,01,02,01
20240529,21,146,2044337622386638,141,4567038604638356,682246,02,15,00
20231021,06,122,1372230586542608,137,4634554248275382,954722,06,19,00
20231231,15,113,7407111457153566,113,7407111457153566,681500,03,03,01
20240115,06,121,3450387699475439,105,8788427965584766,678365,03,12,01
20230827,08,122,1372230586542608,122,1372230586542608,703458,06,13,02
20240626,00,111,3259647329161682,140,5883961058417168,412599,04,02,SP
20230918,00,112,9689446025465847,118,3073157799306107,813111,04,13,00
20231226,21,136,4365488401649908,141,3837218043904167,40097,08,20,00
20240712,12,111,8536290384776394,106,9769606200995920,582621,05,23,00
20240415,18,105,8788427965584766,115,4064043161765290,620582,03,11,00
20240222,03,146,2044337622386638,113,7407111457153566,65715,06,19,00
20240615,15,105,8788427965584766,146,3245651343852788,596680,08,21,SP
20230802,08,126,3637455924692426,125,7327373000707906,41355,01,04,SP
20240317,18,114,2818215438944910,122,1372230586542608,283101,05,00,01
20240322,21,128,8701366930286171,146,2044337622386638,469451,05,16,01
20230912,00,137,4634554248275382,106,2800940104949556,849083,06,18,SP
20240629,12,145,9515396382720313,122,1372230586542608,590807,02,04,02
20230911,18,129,4859756185293026,121,3450387699475439,906754,07,21,02
20231126,12,113,4748027804998042,145,1629628091924286,37529,05,24,SP
20240322,18,126,3637455924692426,149,2745576716024097,431152,04,11,00
20240317,03,126,3637455924692426,101,7803611844611540,497598,01,27,02
20240614,21,140,4216676978067285,105,8788427965584766,86122,04,14,SP
20230816,06,121,3450387699475439,135,3097822195878600,122044,05,17,SP
20231214,15,120,2898268553434662,147,9082585259626714,311531,07,21,01
20240321,06,125,7327373000707906,123,1295768097587522,826136,08,15,00
20230928,08,147,7803650367371885,124,6173940208778795,783681,02,18,SP
20231002,03,121,4918383338581441,122,1372230586542608,993116,02,23,01
20231222,08,106,5135231099412897,140,8233178252104365,258985,03,12,02
20231111,18,134,6770386434830228,125,7327373000707906,564565,04,00,02
20240227,06,137,4719031006321947,146,4003753069671826,717191,06,21,00
20240603,00,146,2044337622386638,140,2920457233893682,51521,08,01,00
20240305,18,114,7074132228440133,116,1511270940418088,911559,01,20,SP
20231015,06,126,3637455924692426,143,1498198282669861,850337,08,28,01
20230805,15,119,3822093619930644,105,8788427965584766,459018,07,13,00
20240211,18,121,3450387699475439,125,1519336978731301,572133,04,14,01
20240622,21,118,2030536165996745,126,3637455924692426,281184,04,16,00
20230828,06,146,2044337622386638,117,4134000467099866,993312,01,23,02
20240522,08,121,3450387699475439,128,4937700280168073,575077,02,12,00
20240107,00,110,1830343887804434,122,8569292827604506,270621,07,23,SP
20231207,00,129,8048494225506255,114,7074132228440133,1429,03,14,02
20231128,21,142,4724403808604037,105,8788427965584766,252022,08,20,00
20231116,03,130,1501191002335118,121,3450387699475439,563459,04,12,00
20231229,21,146,2044337622386638,110,1477281826651311,574020,03,30,02
20231202,21,104,4645688460593488,114,7074132228440133,461812,03,22,00
20240331,21,121,3450387699475439,150,6194393893147681,167824,06,14,01
20240116,08,113,7407111457153566,127,5357644916163558,988979,07,27,00
20240411,21,137,4634554248275382,122,1372230586542608,78863,04,02,SP
20230819,03,105,8788427965584766,128,9556162147081833,639051,03,02,SP
20240526,08,126,3637455924692426,110,8318727018803254,265254,08,16,02
20240225,18,146,2044337622386638,110,1830343887804434,665361,05,18,01
20240124,15,115,9587444665007201,137,4634554248275382,638341,04,01,01
20240124,12,144,6338403181038286,132,3724497836273017,119840,01,03,01
20240128,06,111,8281545701990464,137,2063884781714332,695521,01,30,01
20230730,03,107,3586733418472533,105,1297884727365160,184353,03,18,SP
20240114,21,129,6945095086789867,132,6835131534190236,470555,05,25,01
20230818,18,130,3356045980364722,114,7074132228440133,669493,05,30,01
