TRAN_DT,TRAN_TMRG,TRAN_AMT,MD_TYPE,FND_TYPE,FF_SP_AI,Source,Target,Source_EC,Target_EC,Source_DC,Target_DC,Source_CC,Target_CC,Source_BC,Target_BC
20240211,0,485709,3,28,02,138_1978990201805765,714_7810586476051201,6.393287687494264e-06,0.29578545486192176,0.001004016064257028,0.0753012048192771,0.0,0.14129664952394747,0.0,0.014285685455389396
20230811,6,691544,2,24,02,155_7975547558140891,110_4193458327420706,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20240514,18,696327,4,13,01,198_5286204592485909,140_8133491733954642,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20230714,8,986163,3,0,01,183_2026235398741924,359_8748289854730524,6.393287687494264e-06,0.26477161628988727,0.001004016064257028,0.06726907630522087,0.0,0.136906850703786,0.0,0.009054307682993278
20231222,18,53816,4,26,01,132_4573377960127327,195_3974490284634934,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20240220,3,444956,6,0,SP,130_7707036944083430,459_9771999429864325,6.393287687494264e-06,0.29591332061567177,0.001004016064257028,0.06927710843373493,0.0,0.1427267775555664,0.0,0.00985913503259268
20240117,18,946446,6,4,SP,714_7810586476051201,917_9821905184464824,0.29578545486192176,0.2676869554753847,0.0753012048192771,0.06726907630522087,0.14129664952394747,0.1361139538850382,0.014285685455389396,0.008098575205343989
20230719,18,395235,6,12,01,181_8869613105571070,917_9821905184464824,6.393287687494264e-06,0.2676869554753847,0.001004016064257028,0.06726907630522087,0.0,0.1361139538850382,0.0,0.008098575205343989
20230818,12,620022,6,26,SP,165_1150429528866467,135_6944075338045293,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20230814,12,256081,6,27,01,714_7810586476051201,177_1505127748120953,0.29578545486192176,0.031212030490346928,0.0753012048192771,0.001004016064257028,0.14129664952394747,0.09286295508832716,0.014285685455389396,0.0
20240315,6,603023,3,20,00,359_8748289854730524,459_9771999429864325,0.26477161628988727,0.29591332061567177,0.06726907630522087,0.06927710843373493,0.136906850703786,0.1427267775555664,0.009054307682993278,0.00985913503259268
20240109,21,495119,7,3,SP,151_9657288945834466,133_3055166112087167,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20240116,3,290199,8,14,01,359_8748289854730524,917_9821905184464824,0.26477161628988727,0.2676869554753847,0.06726907630522087,0.06726907630522087,0.136906850703786,0.1361139538850382,0.009054307682993278,0.008098575205343989
20230920,0,232087,4,21,SP,125_7146012700096340,161_9990918885077647,0.2645798176592624,0.028181612126474645,0.07831325301204818,0.001004016064257028,0.1353301883156426,0.0902670402065696,0.03697175637222255,0.0
20240520,12,294077,6,2,02,714_7810586476051201,125_9373762130586295,0.29578545486192176,0.031212030490346928,0.0753012048192771,0.001004016064257028,0.14129664952394747,0.09286295508832716,0.014285685455389396,0.0
20240617,3,239474,7,25,00,714_7810586476051201,188_2432876771746893,0.29578545486192176,0.031212030490346928,0.0753012048192771,0.001004016064257028,0.14129664952394747,0.09286295508832716,0.014285685455389396,0.0
20240601,15,987388,8,23,00,459_9771999429864325,168_6382067061055026,0.29591332061567177,0.031403829120971755,0.06927710843373493,0.001004016064257028,0.1427267775555664,0.09347389558232931,0.00985913503259268,0.0
20240424,0,667878,4,17,02,917_9821905184464824,459_9771999429864325,0.2676869554753847,0.29591332061567177,0.06726907630522087,0.06927710843373493,0.1361139538850382,0.1427267775555664,0.008098575205343989,0.00985913503259268
20240331,8,738365,6,22,01,714_7810586476051201,777_1130092367040023,0.29578545486192176,0.267303358214135,0.0753012048192771,0.06726907630522087,0.14129664952394747,0.1340437796814635,0.014285685455389396,0.03355124013642509
20240414,3,324109,1,21,02,148_3522822925276131,154_2042999228430732,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20240213,12,754593,8,26,02,714_7810586476051201,164_1714255063537000,0.29578545486192176,0.031212030490346928,0.0753012048192771,0.001004016064257028,0.14129664952394747,0.09286295508832716,0.014285685455389396,0.0
20240229,3,475054,2,15,00,194_8266428710861671,122_4839807656212613,6.393287687494264e-06,3.1966438437471325e-05,0.001004016064257028,0.001004016064257028,0.0,0.001004016064257028,0.0,0.0
20240428,3,130629,6,30,SP,714_7810586476051201,125_7146012700096340,0.29578545486192176,0.2645798176592624,0.0753012048192771,0.07831325301204818,0.14129664952394747,0.1353301883156426,0.014285685455389396,0.03697175637222255
20230823,12,483125,6,16,SP,700_1400086102063774,714_7810586476051201,0.2957598817111718,0.29578545486192176,0.07228915662650602,0.0753012048192771,0.1410140562248996,0.14129664952394747,0.013883271780589693,0.014285685455389396
