TRAN_DT,TRAN_TMRG,WD_FC_SN,WD_AC_SN,DPS_FC_SN,DPS_AC_SN,TRAN_AMT,MD_TYPE,FND_TYPE,FF_SP_AI,WD_NODE,DPS_NODE,WD_NODE_CENTRALITY,DPS_NODE_CENTRALITY
20239297,12,110,8375844693960870,119,9954731113142622,302700780,4,5,02,110-8375844693960870,119-9954731113142622,0.10527108323933113,0.02611682464070767
20230705,18,478,9954731113142622,991,5128381057692166,638932616,6,27,00,478-9954731113142622,991-5128381057692166,0.025491691291331477,0.026860280271514787
20238482,12,944,2699216605743076,119,6640690892267346,69006130,5,19,02,944-2699216605743076,119-6640690892267346,0.008928571428571428,0.01837904337430641
20237919,0,979,5889967635764405,844,4492007341520840,375764468,4,30,00,979-5889967635764405,844-4492007341520840,0.05436631688940978,0.008928571428571428
20240362,18,166,8493281760900337,441,6947854111055635,237420627,8,20,02,166-8493281760900337,441-6947854111055635,0.00908825076874679,0.008928571428571428
20240612,21,708,8614213366381342,423,5542532193338974,38254619,4,15,02,708-8614213366381342,423-5542532193338974,0.09986237904753185,0.008928571428571428
20239074,21,732,9764767551861882,228,7182188648220221,974315885,6,14,00,732-9764767551861882,228-7182188648220221,0.03000774593094461,0.009409552766707081
20240612,12,260,9307147538183362,568,7644105321155005,265256922,4,21,00,260-9307147538183362,568-7644105321155005,0.008928571428571428,0.008928571428571428
20230705,3,303,4439843307495332,509,5644677347297844,764057198,6,18,01,303-4439843307495332,509-5644677347297844,0.04868212765998658,0.06786695013619687
20232760,12,204,1601592272554504,599,4828205263460018,263302014,4,19,00,204-1601592272554504,599-4828205263460018,0.010997818690590697,0.013079590889606744
20230705,12,919,7978841302435988,154,9954731113142622,231663122,1,15,02,919-7978841302435988,154-9954731113142622,0.0849435334787767,0.1090901852176768
20231051,0,199,9651970159595698,527,1739366401545397,509069052,7,17,00,199-9651970159595698,527-1739366401545397,0.04391942403997233,0.05691459723033702
20230705,3,884,1270785049176245,181,5659023118448760,311389081,1,0,00,884-1270785049176245,181-5659023118448760,0.05864829347964298,0.008928571428571428
20239023,8,793,7284802189816922,119,2185464714405400,785954470,8,20,SP,793-7284802189816922,119-2185464714405400,0.03506578844099827,0.008928571428571428
20237970,0,773,4195082895222127,328,6908865538476507,904604929,5,17,01,773-4195082895222127,328-6908865538476507,0.09645357861289042,0.13392857142857142
20240612,15,970,4182499685437542,728,2543330481957944,848697462,3,14,SP,970-4182499685437542,728-2543330481957944,0.12171945406295483,0.08634827853853615
20230705,6,815,2086390717092681,448,7632800460625382,195927386,5,12,00,815-2086390717092681,448-7632800460625382,0.008928571428571428,0.028781668403690026
20230705,6,154,6942687871940906,296,1643917775188695,862480084,6,25,00,154-6942687871940906,296-1643917775188695,0.09779443087555852,0.012825327202038656
20238498,15,744,7965717010289707,991,2510022491252073,142192699,7,15,02,744-7965717010289707,991-2510022491252073,0.10049468625831612,0.008928571428571428
20230705,12,223,8059139418510658,526,1565272043526400,162369829,8,8,00,223-8059139418510658,526-1565272043526400,0.0455649577488014,0.029736720603266268
20230705,12,600,4862925333379094,697,2327556582322843,414125036,4,23,02,600-4862925333379094,697-2327556582322843,0.008928571428571428,0.008928571428571428
20238803,21,110,9865053891479974,899,4333910464454618,201818036,3,19,00,110-9865053891479974,899-4333910464454618,0.008928571428571428,0.008928571428571428
20240612,6,244,6362429261230279,249,9954731113142622,419322431,4,17,00,244-6362429261230279,249-9954731113142622,0.013580360814823025,0.02789642685325328
20240383,21,324,6243035076177786,119,5299210678619245,795607453,7,0,02,324-6243035076177786,119-5299210678619245,0.015444134522715371,0.02460061529353578
20238958,0,735,1270785049176245,602,2579901195627466,628738325,8,23,00,735-1270785049176245,602-2579901195627466,0.06990961149213332,0.008928571428571428
20238914,12,110,2699034286560118,415,4339661429692297,495688954,8,6,00,110-2699034286560118,415-4339661429692297,0.03631839049140877,0.1120765610045405
20240612,0,110,9954731113142622,372,6014467219290159,368619950,4,20,SP,110-9954731113142622,372-6014467219290159,0.008928571428571428,0.016083198296609563
20231336,15,110,9954731113142622,724,8198648542922187,809352232,1,0,00,110-9954731113142622,724-8198648542922187,0.13392857142857142,0.027989024007503527
20232295,21,463,2250969576361468,119,9220935219675880,752104255,2,21,00,463-2250969576361468,119-9220935219675880,0.008928571428571428,0.026024391765756355
